=== Job started: Thu May 28 17:06:47 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-28 17:07:26,966] A new study created in memory with name: rgb
[I 2026-05-28 17:22:38,940] Trial 16 finished with value: 0.9456405329217544 and parameters: {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'single_3', 'n_fc_layers': 1, 'fc_hidden': 512, 'dropout': 0.5207755124616829, 'activation': 'silu', 'lr': 0.0001988340732646121}. Best is trial 16 with value: 0.9456405329217544.
Epoch 1, Val loss: 1.5830, Val F1: 0.3905
[I 2026-05-28 17:22:41,762] Trial 17 pruned. 
Epoch 1, Val loss: 0.7912, Val F1: 0.7302
Epoch 2, Val loss: 0.6717, Val F1: 0.7600
Epoch 3, Val loss: 0.4787, Val F1: 0.8277
Epoch 4, Val loss: 0.4329, Val F1: 0.8466
Epoch 5, Val loss: 0.5259, Val F1: 0.8115
Epoch 6, Val loss: 0.4813, Val F1: 0.8377
Epoch 7, Val loss: 0.2938, Val F1: 0.8999
Epoch 8, Val loss: 0.2487, Val F1: 0.9187
Epoch 9, Val loss: 0.2929, Val F1: 0.8947
Epoch 10, Val loss: 0.2373, Val F1: 0.9179
Epoch 11, Val loss: 0.2246, Val F1: 0.9198
Epoch 12, Val loss: 0.2560, Val F1: 0.9131
Epoch 13, Val loss: 0.2929, Val F1: 0.9075
Epoch 14, Val loss: 0.2098, Val F1: 0.9237
Epoch 15, Val loss: 0.2725, Val F1: 0.9087
Epoch 16, Val loss: 0.2190, Val F1: 0.9233
Epoch 17, Val loss: 0.7817, Val F1: 0.7875
[I 2026-05-28 17:23:24,283] Trial 18 pruned. 
Epoch 1, Val loss: 0.6582, Val F1: 0.7485
Epoch 2, Val loss: 0.7182, Val F1: 0.7311
[I 2026-05-28 17:23:28,302] Trial 19 pruned. 
Epoch 1, Val loss: 0.6656, Val F1: 0.7618
Epoch 2, Val loss: 0.5315, Val F1: 0.8019
Epoch 3, Val loss: 0.5569, Val F1: 0.8001
Epoch 4, Val loss: 0.3872, Val F1: 0.8627
Epoch 5, Val loss: 0.3580, Val F1: 0.8715
Epoch 6, Val loss: 0.3687, Val F1: 0.8703
Epoch 7, Val loss: 0.3532, Val F1: 0.8771
Epoch 8, Val loss: 0.3560, Val F1: 0.8675
Epoch 9, Val loss: 0.2675, Val F1: 0.9065
Epoch 10, Val loss: 0.2683, Val F1: 0.9040
Epoch 11, Val loss: 0.3406, Val F1: 0.8858
Epoch 12, Val loss: 0.2588, Val F1: 0.9081
Epoch 13, Val loss: 0.2751, Val F1: 0.9151
Epoch 14, Val loss: 0.3265, Val F1: 0.8890
[I 2026-05-28 17:24:00,522] Trial 20 pruned. 
Epoch 1, Val loss: 0.6638, Val F1: 0.7522
Epoch 2, Val loss: 0.7975, Val F1: 0.7171
[I 2026-05-28 17:24:06,544] Trial 21 pruned. 
Epoch 1, Val loss: 0.5690, Val F1: 0.7854
Epoch 2, Val loss: 0.3972, Val F1: 0.8637
Epoch 3, Val loss: 0.4883, Val F1: 0.8340
Epoch 4, Val loss: 0.3102, Val F1: 0.8911
Epoch 5, Val loss: 0.3488, Val F1: 0.8730
Epoch 6, Val loss: 0.3260, Val F1: 0.8854
Epoch 7, Val loss: 0.2417, Val F1: 0.9123
Epoch 8, Val loss: 0.2065, Val F1: 0.9276
Epoch 9, Val loss: 0.3150, Val F1: 0.8980
Epoch 10, Val loss: 0.2435, Val F1: 0.9160
Epoch 11, Val loss: 0.2405, Val F1: 0.9199
Epoch 12, Val loss: 0.2284, Val F1: 0.9160
Epoch 13, Val loss: 0.2072, Val F1: 0.9280
Epoch 14, Val loss: 0.2207, Val F1: 0.9283
Epoch 15, Val loss: 0.2090, Val F1: 0.9315
Epoch 16, Val loss: 0.2473, Val F1: 0.9266
Epoch 17, Val loss: 0.1810, Val F1: 0.9396
Epoch 18, Val loss: 0.2984, Val F1: 0.9067
Epoch 19, Val loss: 0.1746, Val F1: 0.9461
Epoch 20, Val loss: 0.1880, Val F1: 0.9418
Epoch 21, Val loss: 0.2287, Val F1: 0.9304
Epoch 22, Val loss: 0.5824, Val F1: 0.8493
Epoch 23, Val loss: 0.2266, Val F1: 0.9337
Epoch 24, Val loss: 0.2109, Val F1: 0.9359
[I 2026-05-28 17:25:06,302] Trial 22 finished with value: 0.9460778067713711 and parameters: {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'single_3', 'n_fc_layers': 1, 'fc_hidden': 512, 'dropout': 0.5491457847066537, 'activation': 'silu', 'lr': 0.00010598497945977049}. Best is trial 22 with value: 0.9460778067713711.
Epoch 1, Val loss: 0.5653, Val F1: 0.7912
Epoch 2, Val loss: 0.4537, Val F1: 0.8260
Epoch 3, Val loss: 0.5033, Val F1: 0.8255
Epoch 4, Val loss: 0.9778, Val F1: 0.7356
[I 2026-05-28 17:25:17,155] Trial 23 pruned. 
Epoch 1, Val loss: 0.8247, Val F1: 0.7051
[I 2026-05-28 17:25:19,543] Trial 24 pruned. 
Epoch 1, Val loss: 0.6294, Val F1: 0.7771
Epoch 2, Val loss: 0.4078, Val F1: 0.8560
Epoch 3, Val loss: 0.4119, Val F1: 0.8619
Epoch 4, Val loss: 0.3408, Val F1: 0.8762
Epoch 5, Val loss: 0.2524, Val F1: 0.9068
Epoch 6, Val loss: 0.2845, Val F1: 0.8973
Epoch 7, Val loss: 0.2512, Val F1: 0.9168
Epoch 8, Val loss: 0.2836, Val F1: 0.9026
Epoch 9, Val loss: 0.2349, Val F1: 0.9156
Epoch 10, Val loss: 0.2215, Val F1: 0.9243
Epoch 11, Val loss: 0.2324, Val F1: 0.9198
Epoch 12, Val loss: 0.2466, Val F1: 0.9192
Epoch 13, Val loss: 0.2349, Val F1: 0.9229
Epoch 14, Val loss: 0.2153, Val F1: 0.9316
Epoch 15, Val loss: 0.2133, Val F1: 0.9321
Epoch 16, Val loss: 0.1791, Val F1: 0.9401
Epoch 17, Val loss: 0.2307, Val F1: 0.9270
Epoch 18, Val loss: 0.1699, Val F1: 0.9442
Epoch 19, Val loss: 0.2037, Val F1: 0.9356
Epoch 20, Val loss: 0.2733, Val F1: 0.9223
Epoch 21, Val loss: 0.2124, Val F1: 0.9351
Epoch 22, Val loss: 0.2816, Val F1: 0.9171
Epoch 23, Val loss: 0.1892, Val F1: 0.9377
[I 2026-05-28 17:26:17,654] Trial 25 finished with value: 0.9441550112256294 and parameters: {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'single_3', 'n_fc_layers': 1, 'fc_hidden': 512, 'dropout': 0.5370024932739317, 'activation': 'silu', 'lr': 0.0001551015003864402}. Best is trial 22 with value: 0.9460778067713711.
Epoch 1, Val loss: 0.5703, Val F1: 0.7939
Epoch 2, Val loss: 0.4673, Val F1: 0.8410
Epoch 3, Val loss: 0.4180, Val F1: 0.8490
Epoch 4, Val loss: 0.2590, Val F1: 0.9045
Epoch 5, Val loss: 0.3667, Val F1: 0.8720
