=== Job started: Sun May 31 15:15:09 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-31 15:15:15,607] A new study created in memory with name: ms
[I 2026-05-31 15:28:27,045] Trial 10 finished with value: 0.9710649967017855 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_3', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'multi_3_7', 'n_fc_layers': 1, 'fc_hidden': 64, 'dropout': 0.3332294412195043, 'activation': 'silu', 'lr': 0.0006140967037864811}. Best is trial 10 with value: 0.9710649967017855.
Epoch 1, Val loss: 0.4567, Val F1: 0.8387
Epoch 2, Val loss: 0.3284, Val F1: 0.8952
Epoch 3, Val loss: 0.3564, Val F1: 0.8739
Epoch 4, Val loss: 0.1822, Val F1: 0.9412
Epoch 5, Val loss: 0.1881, Val F1: 0.9417
Epoch 6, Val loss: 0.1466, Val F1: 0.9530
Epoch 7, Val loss: 0.1633, Val F1: 0.9500
Epoch 8, Val loss: 0.2163, Val F1: 0.9351
Epoch 9, Val loss: 0.1678, Val F1: 0.9459
Epoch 10, Val loss: 0.1285, Val F1: 0.9585
Epoch 11, Val loss: 0.1431, Val F1: 0.9519
Epoch 12, Val loss: 0.1342, Val F1: 0.9550
Epoch 13, Val loss: 0.1635, Val F1: 0.9495
Epoch 14, Val loss: 0.1359, Val F1: 0.9586
Epoch 15, Val loss: 0.1167, Val F1: 0.9635
Epoch 16, Val loss: 0.1122, Val F1: 0.9684
Epoch 17, Val loss: 0.0988, Val F1: 0.9680
Epoch 18, Val loss: 0.1414, Val F1: 0.9625
Epoch 19, Val loss: 0.1033, Val F1: 0.9685
Epoch 20, Val loss: 0.1126, Val F1: 0.9676
Epoch 21, Val loss: 0.1102, Val F1: 0.9639
Epoch 22, Val loss: 0.1069, Val F1: 0.9735
Epoch 23, Val loss: 0.1005, Val F1: 0.9699
Epoch 24, Val loss: 0.1083, Val F1: 0.9677
Epoch 25, Val loss: 0.1223, Val F1: 0.9674
Epoch 26, Val loss: 0.0963, Val F1: 0.9735
Epoch 27, Val loss: 0.1130, Val F1: 0.9688
