=== Job started: Wed May 27 01:57:41 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-27 01:57:47,011] A new study created in memory with name: rgb
Epoch 1, Val loss: 0.6924, Val F1: 0.7617
Epoch 2, Val loss: 0.5235, Val F1: 0.8248
Epoch 3, Val loss: 0.6318, Val F1: 0.7949
Epoch 4, Val loss: 0.6470, Val F1: 0.7939
[I 2026-05-27 02:06:19,249] Trial 24 pruned. 
Epoch 1, Val loss: 0.6464, Val F1: 0.7686
Epoch 2, Val loss: 0.5652, Val F1: 0.7825
[I 2026-05-27 02:06:23,267] Trial 25 pruned. 
Epoch 1, Val loss: 0.5247, Val F1: 0.8047
Epoch 2, Val loss: 0.4930, Val F1: 0.8160
[I 2026-05-27 02:06:27,098] Trial 26 pruned. 
Epoch 1, Val loss: 1.6182, Val F1: 0.4796
[I 2026-05-27 02:06:29,059] Trial 27 pruned. 
Epoch 1, Val loss: 0.5703, Val F1: 0.7874
Epoch 2, Val loss: 0.3814, Val F1: 0.8662
Epoch 3, Val loss: 0.4265, Val F1: 0.8376
Epoch 4, Val loss: 0.6705, Val F1: 0.7523
Epoch 5, Val loss: 0.2515, Val F1: 0.9107
Epoch 6, Val loss: 0.4605, Val F1: 0.8565
Epoch 7, Val loss: 0.2564, Val F1: 0.9110
Epoch 8, Val loss: 0.3403, Val F1: 0.8795
Epoch 9, Val loss: 0.2590, Val F1: 0.9144
Epoch 10, Val loss: 0.2924, Val F1: 0.8908
Epoch 11, Val loss: 0.2586, Val F1: 0.9092
Epoch 12, Val loss: 0.2728, Val F1: 0.9088
Epoch 13, Val loss: 0.2224, Val F1: 0.9274
Epoch 14, Val loss: 0.2256, Val F1: 0.9191
Epoch 15, Val loss: 0.2045, Val F1: 0.9252
Epoch 16, Val loss: 0.4445, Val F1: 0.8694
Epoch 17, Val loss: 0.2025, Val F1: 0.9312
Epoch 18, Val loss: 0.2462, Val F1: 0.9137
