=== Job started: Wed May 27 02:04:47 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-27 02:04:53,725] A new study created in memory with name: ms
Epoch 14, Val loss: 0.0770, Val F1: 0.9780
Epoch 15, Val loss: 0.0853, Val F1: 0.9728
Epoch 16, Val loss: 0.1236, Val F1: 0.9632
Epoch 17, Val loss: 0.0824, Val F1: 0.9755
Epoch 18, Val loss: 0.0978, Val F1: 0.9661
Epoch 19, Val loss: 0.0776, Val F1: 0.9764
ms: best F1 = 0.9805, params = {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 64, 'dropout': 0.38217102063179526, 'activation': 'relu', 'lr': 0.00010200960558027954}
=== Job finished: Wed May 27 02:17:18 CEST 2026 ===

###############################################################################
Hábrók Cluster
Job 29082657 for user s5964733
Finished at: Wed May 27 02:17:22 CEST 2026

Job details:
============

Job ID                         : 29082657
Name                           : tune_ms
User                           : s5964733
Partition                      : gpushort
Nodes                          : rtx6000gpu3
Number of Nodes                : 1
Cores                          : 8
Number of Tasks                : 1
State                          : COMPLETED  
Submit                         : 2026-05-27T02:04:45
Start                          : 2026-05-27T02:04:46
End                            : 2026-05-27T02:17:18
Reserved walltime              : 04:00:00
Used walltime                  : 00:12:32
Used CPU time                  : 00:51:36 (Efficiency: 51.45%)
% User (Computation)           : 78.37%
% System (I/O)                 : 21.63%
Total memory reserved          : 32G
Maximum memory used            : 4.49G
Requested GPUs                 : rtx_pro_6000=1
Allocated GPUs                 : rtx_pro_6000=1
Max GPU utilization            : 39%
Max GPU memory used            : 1.36G

Acknowledgements:
=================

Please see this page for information about acknowledging Hábrók in your publications:

https://wiki.hpc.rug.nl/habrok/introduction/scientific_output

################################################################################
